customer_id,customer_name,email,country,signup_date,customer_segment,marketing_opt_in
CUST00001,Customer 1,customer1@example.com,Malaysia,2024-03-18,consumer,false
CUST00002,Customer 2,customer2@example.com,Thailand,2025-04-26,consumer,true
CUST00003,Customer 3,customer3@example.com,Malaysia,2024-02-09,enterprise,false
CUST00004,Customer 4,customer4@example.com,Singapore,2025-11-30,consumer,true
CUST00005,Customer 5,customer5@example.com,Singapore,2025-05-08,enterprise,true
CUST00006,Customer 6,customer6@example.com,India,2023-12-30,consumer,false
CUST00007,Customer 7,customer7@example.com,Vietnam,2024-05-08,consumer,true
CUST00008,Customer 8,customer8@example.com,India,2024-01-18,smb,false
CUST00009,Customer 9,customer9@example.com,Thailand,2025-07-26,smb,true
CUST00010,Customer 10,customer10@example.com,India,2025-09-29,consumer,false
CUST00011,Customer 11,customer11@example.com,Philippines,2023-08-18,enterprise,false
CUST00012,Customer 12,customer12@example.com,Singapore,2023-09-28,enterprise,false
CUST00013,Customer 13,customer13@example.com,Malaysia,2024-07-01,smb,true
CUST00014,Customer 14,customer14@example.com,Vietnam,2024-06-15,enterprise,false
CUST00015,Customer 15,customer15@example.com,Thailand,2024-05-20,enterprise,true
CUST00016,Customer 16,customer16@example.com,Thailand,2025-11-16,smb,true
CUST00017,Customer 17,customer17@example.com,Thailand,2023-08-10,consumer,false
CUST00018,Customer 18,customer18@example.com,Australia,2025-03-23,enterprise,false
CUST00019,Customer 19,customer19@example.com,Philippines,2025-07-19,smb,true
CUST00020,Customer 20,customer20@example.com,Vietnam,2024-02-15,enterprise,true
CUST00021,Customer 21,customer21@example.com,Indonesia,2024-04-18,enterprise,true
CUST00022,Customer 22,customer22@example.com,Australia,2025-07-18,smb,false
CUST00023,Customer 23,customer23@example.com,Thailand,2024-03-17,enterprise,false
CUST00024,Customer 24,customer24@example.com,Singapore,2023-08-22,consumer,true
CUST00025,Customer 25,customer25@example.com,Philippines,2023-09-30,smb,false
CUST00026,Customer 26,customer26@example.com,Thailand,2025-10-26,enterprise,false
CUST00027,Customer 27,customer27@example.com,Australia,2025-05-29,smb,false
CUST00028,Customer 28,customer28@example.com,Vietnam,2025-08-08,consumer,true
CUST00029,Customer 29,customer29@example.com,Vietnam,2023-12-01,enterprise,false
CUST00030,Customer 30,customer30@example.com,India,2024-05-14,smb,true
CUST00031,Customer 31,customer31@example.com,Australia,2025-08-13,consumer,true
CUST00032,Customer 32,customer32@example.com,Malaysia,2023-08-04,consumer,true
